,artist_id,msd_id,shs_id,title,work_id,dzr_id
0,ARXJJSN1187B98CB37,TRPYNNL12903CAF506,46770.0,My Sweet Lord,,20012691
1,ARNUFGE1187B9B7881,TRFYRVZ128F92EF998,72636.0,My Sweet Lord,,43339631
2,AR7K9W71187B9AF065,TRXAJXI128F4267A92,76190.0,My Sweet Lord,,586720
3,ARZEAO01187B998042,TRGSXCN128F9320D4B,130256.0,My Sweet Lord,,75677019
4,AROHGM71187B98ED9E,TRBKHJE128F931F762,22914.0,Take Me In Your Arms (Rock Me A Little While),,71299833
5,ARTG85X1187B99D1F5,TRNOHZD128C719668F,22915.0,Take Me In Your Arms (Rock Me A Little While),,121636028
6,ART9VTZ1187FB48DDC,TRTMZVE128F92DF6FB,22917.0,Take Me In Your Arms (Rock Me A Little While),,69935256
7,ARUIHX41187B98BE59,TRMFHKO128F426E4C6,-1.0,Take Me In Your Arms (Rock Me A Little While),,775098
8,ARLQ1IL1187FB3C77A,TRYCGBR128F428256C,98931.0,Come Softly To Me,,3402075
9,AROSQW61187FB5330B,TRWQUEV12903CB3AD3,4173.0,Come Softly To Me,,72476036
10,AR7K9W71187B9AF065,TRSGOFX128F4267A45,76187.0,Come Softly To Me,,586731
11,ARKMSNH1187FB44DEB,TRHHBEI12903CF8A4A,114319.0,Come Softly To Me,,10774659
12,ARA3VJJ1187FB3F5A6,TREBUPV128F42594E7,69885.0,I Don't Want To Hear It Anymore,,916348
13,ARK1VZ81187FB5867E,TRREYXV128F93095CE,125608.0,I Don't Want To Hear It Anymore,,13230769
14,AREQIT21187B9AEB7F,TREJAIZ128E0791228,52988.0,I Don't Want To Hear It Anymore,,2264002
15,ARJLK4N1187FB35EAF,TROIMFC128F1490D2D,82109.0,Let's Call The Whole Thing Off,,59297731
16,AR8Y7O51187B99879D,TRCOKEP128F92C7091,83959.0,Let's Call The Whole Thing Off,,1942667
17,AR1HEU81187FB3CCCC,TRNUHKV128F92E138B,34604.0,Let's Call The Whole Thing Off,,16101854
18,AROZ9WA1187B995DF9,TRTUZJC128F9338FF6,34520.0,Roxanne,,13265232
19,ARIPLUN1187B99B9F9,TRELBYN128F1492390,9276.0,Roxanne,,2525877
20,ARP39OU1187FB4D543,TRZBOZT128F425A65E,56257.0,Roxanne,,6124412
21,ARAKARO1187B9A1EB6,TRGUKPU128F425A04A,9277.0,Roxanne,,8112382
22,ARUN2OO1187B9A7BF3,TRCLJGP128E079273D,-1.0,Roxanne,,1089883
